"","스트리머","스트레이.키즈","인터넷방송","국내야구","수능","겨울왕국","리그.오브.레전드","만화","기타.국내.드라마","엘소드"
"21","호산이 생각이 없네 이러면 뭘해도 노잼팟임","[2차][콰이갤]7시ㅈㄴㅅㅁㅇㅈ (설x)","와 스트리머갤이 실북1위네 좆방갤 망했구나","나도 갤질 ㅈㄴ 하면 10만 순삭임 ","생2 윤도영vs백호","아맥 포스터 이벤트 재입갤!!","고닉하면 양말 주냐 씨발","Tiv샌세 신짤","김수현 여주상플했었음","노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노"
"22","호산팀에 공혁준 룩삼 가면 레전드 ㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][vlive iKON갤] 신곡 축하 <U+270D>연검정화<U+270D> 부탁드려요 (설×","케이까는거 남견이면서 은근슬쩍 염퀴 끼워넣네 ㅋㅋㅋ","아니 상근예비역이 뭐냐?","다시한번묻는다눈두덩이살많냐고씨발새끼들아","한통수 목소리 바뀌는거보소","깔끔 정리","아마노 메구미양 작가 근본.JPG","매맞는 아내, 매맞는 남편 순위..txt","유동찐따들은 눈사람이나달아 ㅇㅇ"
"23","왜냐맨 동수칸 예지 러너 데려갈거 같은데?","[2차][황윤성마갤] <U+2763>쁘띠<U+2763>가 신곡축하왔<U+2728>윤성<U+2728>(설쉬)","인방겔 참 유치하게 노네","룸메 씨발련 공부하는데존나쫑알거리네","시발 솔직히 안양도 개씹깡촌아니노 ㅋㅋ","대사만 들어도 장면이 재생되네","난왜 트리안줘 ㅆㅂ","김건모가 살아남을 수 있는 유일한 방법","오지호도 텐프로여자랑 사귀다가 ","<U+26C4>노무현<U+26C4>"
"24","아 칸 재넌이랑 안붙는다 ㅅㅅㅅ","[2차][콰이갤]7시ㅁㄹㅅㅁㅇㅈ (설x)","짭구와 짭구팬들의 이중성 ㅋㅋ","이거 달리면 보냐?? jpg","서울대 붙었다","한통수 ㅋㅋㅋㅋ","인싸는 양말뜬다 ㅋㅋㅋㅋㅋㅋ","이 정신병은 좋은 정신병이다","남 인생 망쳐놓고 웃고다니는 소름끼치는 아이돌","ㄹㄹ"
"25","동수칸 지수소녀 같이는 못뽑을듯","[2차][조시윤갤] <U+269C> 7시 신곡 축하 <U+269C> 왔 <U+2763>시윤<U+2763>(지니","하콩아. 내가 광어는 조심하라고 했지 ㄹㅇ.<U+00A0>","상황이 애매한 쥬지..gif","숭실대 교과 예비 3번 붙을까","용아맥 떳다","마크 할 사람","야마다가 남주놈 강제로 강간하고 첨이지? 앗싸~","가세연 미쳤네 술집년 쉴드치는거 보소","<U+26C4> < tencent qq"
"26","스페이스는 양심있으면 룩돌리 데려가서 터져라","[2차][금동현마갤]<U+2728>세계정복<U+2728>금동이가 신곡축하정복왔동<U+2763>멜","여기다쌀까 저기다쌀까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","트리 떤냐?","근데 수갤러들 갈수록 영악해지는듯 재스생님이 겨드랑이랑","얘들아 아맥 소풍으로 가래","마스터 이상 부캐두오 하실분??","내마위 돚거좀","그렇게 연예인 아이돌 뺨치는 외모면 연옌을 하든가 ㅋㅋ","유동도 트리있거든요??"
"27","왜냐맨 동수칸 뽑으려고 대기타는거냐?","[2차][여친갤] <U+2600>열대야<U+2600> 같은 신곡축하를 할 때야(설X","김인호 압구정 나들이 대상 투표좀~","개독 먹사...레전드...","수붕이들 실명보이노 ㅋㅋ","엘사 고개 끄덕이는 짤","트위치는 w가 문제지 e는 좋음","만붕이들한테만 알려주는 꿀팁!!!","그렇지 8명중에 8번째로 들어왓는데 걔 본순간","다시간다 트리떤냐???"
"28","돌아와 퀸정잉","[2차][정동하갤]<U+2764>이별을노래로만들어보았습니다♥신곡축하(설쉬) ","상호 불쌍하다...","아직도 분위기 파악 못하고 트리단 고닉은 진짜 사회생활","시므ㅏㄹ 탈갤함 애미 기만충 ㅅㄲ들///","프2 인물별 베스트씬","불멸이렐리아정도면 가슴큰편이냐?","집에만 오면 이불에서 만갤 유튜브만 하는 이유좀","장동윤 이새끼는 ㅈㄴ나대는 성격이라","양말=가이아"
"29","쌍베 또 동수칸 똥꼬 빨게 생겼네","[2차][vlive iKON갤] 신곡축하 <U+270D>연검정화<U+270D> 부탁드려요 (설×)","남빡인데)) 갤 왜이리 살벌하노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","담배 계속 피면 30대부터 급격히 늙는다","아니 씨발진짜ㅋㅋ","프뽕 맞아서 3대 욕구 다 없어짐","킬꽈요?","채권추심업에 취직했는데 니들은 하지마라 진짜","가세연 한다 ","나눈사람달고싶은데어케달아??"
"30","왜냐맨이 칸지수 둘다 데려오는거 가능하냐?","[2차][더태민갤]<U+2705>This is Your Day<U+2705>신곡축하(설x)멜","3일차 방송입니다 플구간피지컬1위 구경와주세용","더 비지트에 할매 존나 꼴리네 시벌","솔직히 우리나라 노벨상 나오게 하려면","울음참기 lv100","로갓하고 일베드립 싸재끼던 놈들이 갑자기 로긴하고 나무 양말타령질","열심히 살던 오너들 어리둥절","서예지가 뽀뽀누나 압살한 현장","오염 너만 오면 고"
